SID,SNAME,SEX,HEIGHT,BDATE,DORM
04000610,王平利,男,171.0,2004-12-20,北1舍228
04000621,周笑灵,女,160.76,2003-11-12,北1舍925
04000630,张澎全,男,171.0,2005-01-04,北1舍328
04000640,刘鹏航,男,182.0,2004-01-11,北1舍324
04000650,刘禛纲,男,171.0,2003-10-03,西1舍303
04000660,魏烁真,男,167.0,2004-01-20,西1舍801
04000671,莫梦趣,女,172.8,2004-01-29,东2舍839
04000680,李鸿阔,男,170.0,2004-05-30,东1舍910
04000690,李东迈,男,179.0,2004-11-14,南2舍622
04000700,甘星毅,男,172.0,2004-10-25,西1舍504
04000711,焦梓蓉,女,166.94,2004-02-17,北1舍337
04000720,陈腾冠,男,172.0,2004-06-23,西1舍401
04000730,王辈岑,男,152.0,2004-03-31,东2舍422
04000740,宋浦谚,男,180.0,2004-03-21,西1舍319
04000750,宫俯坤,男,179.0,2005-04-29,东1舍519
04000761,张玉潇,女,168.46,2005-01-26,北2舍233
04000771,黄漪芯,女,171.8,2004-10-28,南2舍235
04000781,马云舞,女,167.87,2004-07-19,东2舍605
04000790,赖桓和,男,159.0,2004-10-25,东1舍125
04000800,傅钦瑜,男,179.0,2004-07-29,东1舍516
04000811,郝咏迎,女,157.8,2004-07-24,西2舍703
04000820,谢坤震,男,170.0,2004-06-17,北1舍335
04000830,石溯攸,男,169.0,2004-10-18,西2舍230
04000840,孙虚基,男,177.0,2004-03-20,北1舍507
04000851,牛舞潇,女,180.87,2004-12-06,东2舍812
04000861,陈诗缦,女,160.31,2004-08-10,北1舍302
04000871,陈璧沁,女,165.61,2004-07-21,东1舍218
04000880,庞冠杉,男,172.0,2004-09-03,西2舍901
04000890,张川友,男,176.0,2004-03-11,南1舍811
04000901,陈蕾怀,女,153.3,2004-07-07,东1舍537
04000911,刘甜维,女,164.43,2004-06-29,北1舍810
04000920,孔掣洲,男,179.0,2004-08-03,西1舍210
04000930,朱风桓,男,168.0,2004-06-08,西1舍129
04000940,李盛凯,男,172.0,2004-08-04,西2舍808
04000951,王怀纨,女,166.85,2004-08-01,北2舍812
04000960,张瀛彤,男,175.0,2004-09-01,西1舍216
04000970,丁来驹,男,184.0,2003-11-08,西1舍414
04000981,叶容锦,女,154.45,2005-01-05,南1舍614
04000990,杜钦昶,男,176.0,2003-06-25,北1舍307
04001000,曹全博,男,177.0,2004-05-03,东2舍512
04001011,史莉颖,女,171.44,2004-07-25,东2舍839
04001020,朱元柏,男,183.0,2004-09-19,北1舍821
04001030,曾劻雨,男,177.0,2003-12-09,东2舍410
04001041,张园令,女,156.92,2004-06-21,北2舍139
04001051,栾虹静,女,169.63,2005-08-21,北1舍231
04001060,马平亿,男,162.0,2003-12-29,东2舍425
04001071,孙鸾芊,女,161.99,2004-03-05,北2舍638
04001081,张瑾痴,女,152.75,2004-10-08,北2舍538
04001090,王迅阔,男,161.0,2004-05-31,西2舍822
04001101,殷婕媱,女,169.5,2004-05-29,北1舍307
04001110,吴旷钦,男,161.0,2004-01-28,南2舍825
04001120,刘诤奕,男,179.0,2004-08-05,东2舍709
04001130,汤河旷,男,172.0,2003-07-21,南1舍109
04001141,王璟甜,女,162.02,2003-11-19,东2舍329
04001151,李惜连,女,159.34,2004-03-29,南1舍536
04001161,王玲贞,女,151.29,2004-07-12,南2舍836
04001170,梁略钟,男,171.0,2004-09-02,东1舍429
04001181,张芹仪,女,152.23,2004-05-15,东1舍434
04001190,周文澔,男,170.0,2004-01-06,北1舍211
04001200,张船昊,男,176.0,2004-10-07,南1舍311
04001211,董荣暄,女,159.94,2004-10-29,南1舍311
04001221,袁杭帆,女,158.09,2004-07-29,南1舍421
04001230,金达葆,男,184.0,2004-07-11,西2舍403
04001240,何玮克,男,179.0,2004-05-08,南1舍815
04001251,严花念,女,167.82,2004-07-29,北2舍638
04001260,王棋晟,男,177.0,2004-07-22,西1舍129
04001270,陈杭晗,男,177.0,2004-06-07,南1舍614
04001281,郭漫乐,女,160.64,2004-04-21,南2舍701
04001291,谢玮沛,女,168.7,2004-01-21,南2舍838
04001300,应昴喆,男,179.0,2004-02-06,西1舍433
04001310,于濮旷,男,170.0,2005-03-01,东2舍135
04001321,关锦怜,女,159.04,2004-07-04,西2舍540
04001330,褚蓝榜,男,164.0,2004-11-16,东1舍906
04001341,林颢悦,女,154.62,2004-09-30,北2舍636
04001351,刘君令,女,164.09,2004-10-30,南2舍239
04001360,刘若辉,男,172.0,2003-11-06,东1舍523
04001370,王庆琦,男,168.0,2004-05-13,西1舍129
04001381,刘亦娣,女,163.07,2004-01-30,南2舍833
04001391,何英容,女,161.07,2003-11-29,南2舍916
04001400,刘来社,男,174.0,2005-02-27,南1舍436
04001411,王蕊好,女,164.96,2004-10-17,北1舍306
04001421,吴然菁,女,174.81,2004-08-04,东1舍437
04001431,孙觅莉,女,163.71,2004-08-31,东2舍318
04001440,宋炎翊,男,179.0,2004-10-17,西2舍814
04001451,赵锦琪,女,166.2,2004-06-12,北1舍615
04001460,李时锐,男,162.0,2004-05-13,东1舍202
04001471,周玉沛,女,157.39,2004-01-03,南2舍814
04001480,饶岑苗,男,174.0,2004-08-21,东1舍438
04001491,李灵杭,女,173.15,2004-03-09,南1舍123
04001500,王士振,男,174.0,2004-06-02,东2舍532
04001510,何葆桦,男,172.0,2004-03-17,东2舍630
04001520,李宝乾,男,163.0,2004-10-23,西2舍817
04001531,唐堇真,女,162.4,2004-11-23,西2舍906
04001541,邹萱梓,女,159.25,2004-04-22,西1舍501
04001550,孙友瀛,男,180.0,2004-07-27,西2舍523
04001561,陈棉然,女,155.37,2004-06-08,东1舍314
04001571,赵佩晓,女,147.72,2004-04-06,南2舍832
04001581,刘蒨君,女,165.62,2004-07-15,西2舍525
04001591,陆桑育,女,176.76,2004-05-13,西2舍924
04001600,李永镇,男,152.0,2004-07-28,北1舍637
04001610,何士含,男,167.0,2004-09-27,南2舍633
04001621,蔡俏巧,女,147.96,2004-09-30,东2舍336
04001630,吴缜万,男,163.0,2004-08-21,北1舍208
04001640,徐彦拾,男,180.0,2004-11-23,东1舍128
04001650,谭平船,男,177.0,2004-07-05,北1舍122
04001660,尹奇颔,男,189.0,2005-02-10,北2舍931
04001670,吴云浦,男,171.0,2004-03-27,西1舍817
04001681,锺瑷柏,女,166.92,2004-09-12,北1舍126
04001690,刘行刚,男,177.0,2004-03-31,北1舍627
04001700,唐烊襦,男,177.0,2005-07-23,北1舍412
04001711,李伟曦,女,165.11,2004-08-15,北2舍906
04001721,李珠哲,女,159.94,2004-06-10,东1舍734
04001731,陆甜听,女,176.34,2004-11-30,南1舍231
04001741,姜甜蝶,女,160.14,2004-01-30,北2舍330
04001750,黄强禛,男,165.0,2005-04-12,南2舍424
04001760,李磊璟,男,176.0,2004-12-09,北2舍611
04001770,刘州衍,男,159.0,2004-11-16,北1舍425
04001781,彭智漫,女,163.55,2004-06-19,西2舍237
04001790,黄韶淇,男,177.0,2004-01-25,东2舍922
04001800,王琪志,男,181.0,2004-05-18,南1舍915
04001810,吴瑜船,男,172.0,2005-02-19,北1舍115
04001821,刘奕楠,女,169.67,2004-07-10,北1舍208
04001830,姚振劭,男,159.0,2004-10-02,西1舍409
04001840,林征宸,男,173.0,2004-04-24,东1舍928
04001850,韩澔珺,男,180.0,2004-09-25,西1舍930
04001861,杨妹迎,女,160.14,2004-05-23,西1舍212
04001870,叶烨材,男,180.0,2004-01-25,南1舍811
04001880,高基旷,男,176.0,2005-01-22,北2舍726
04001891,黄红萁,女,167.49,2004-08-25,北1舍423
04001901,李莎融,女,167.18,2004-02-14,北1舍429
04001910,陈骢苗,男,177.0,2004-03-31,南1舍131
04001921,杨可纨,女,163.57,2004-06-14,东1舍207
04001930,管均葆,男,167.0,2004-07-06,东1舍314
04001940,杜智希,男,173.0,2004-06-22,南2舍919
04001950,刘晞晏,男,182.0,2004-08-09,西2舍131
04001961,莫雯锦,女,156.4,2004-06-24,东1舍734
04001970,刘益弛,男,169.0,2004-05-28,东1舍128
04001980,戴社康,男,186.0,2003-10-13,南1舍220
04001990,邓行单,男,167.0,2004-05-07,南2舍101
04002001,鲁桂桂,女,174.64,2004-05-28,南2舍705
04002011,谢凤烟,女,175.03,2004-10-17,东1舍216
04002020,陈豪理,男,169.0,2004-05-11,西2舍119
04002031,石曦涵,女,145.4,2004-05-25,南2舍617
04002040,周凰圣,男,176.0,2003-10-20,南1舍301
04002051,刘人璇,女,164.87,2004-07-17,东2舍524
04002060,王希瀚,男,171.0,2003-11-28,南2舍530
04002070,郭雄示,男,175.0,2003-06-12,北1舍706
04002080,李苗鹰,男,164.0,2004-05-18,东2舍202
04002091,范文迎,女,167.23,2003-12-24,北2舍115
04002100,刘克旲,男,165.0,2005-03-25,南2舍226
04002110,唐宸铸,男,171.0,2004-05-19,北2舍921
04002120,王乔衍,男,160.0,2004-02-09,北2舍502
04002131,陆悦易,女,176.33,2004-06-26,西1舍930
04002140,何示葆,男,192.0,2004-05-17,东1舍212
04002150,白利社,男,175.0,2004-02-21,东2舍120
04002161,李楚潼,女,165.96,2004-08-26,西1舍707
04002170,郝瑾钢,男,173.0,2004-05-28,北1舍209
04002180,何均强,男,169.0,2004-12-03,南2舍735
04002190,李群升,男,185.0,2004-05-26,北1舍602
04002201,卢峥语,女,164.57,2004-01-10,南1舍113
04002210,孟杭诗,男,179.0,2004-04-06,西1舍137
04002220,郭钢臻,男,166.0,2004-10-20,北2舍334
04002231,吴寻书,女,169.22,2004-01-31,北1舍507
04002241,武曦蓓,女,164.69,2004-04-19,东1舍220
04002251,宋玥龙,女,164.47,2004-05-27,南1舍422
04002261,戴若倚,女,164.2,2003-09-27,西1舍524
04002270,冯棋儒,男,179.0,2004-07-07,南2舍305
04002281,贾琶晋,女,161.26,2003-08-04,西1舍532
04002290,陈溪矾,男,182.0,2004-07-27,东1舍611
04002301,孙君霜,女,161.59,2004-07-22,北1舍116
04002311,周洁新,女,161.61,2005-03-10,北1舍238
04002321,周菲芬,女,161.65,2004-01-18,东1舍708
04002330,张烁筠,男,175.0,2004-07-03,东1舍734
04002340,洪博宏,男,168.0,2004-06-29,东2舍336
04002351,程菁宇,女,160.67,2004-08-11,东1舍422
04002361,向琦菊,女,165.23,2004-05-26,南2舍614
04002371,吴淑振,女,167.84,2004-06-09,北2舍240
04002381,张华杏,女,157.66,2005-05-30,南2舍917
04002390,李垒社,男,167.0,2004-06-11,北1舍719
04002400,彭乐李,男,175.0,2004-04-08,西1舍401
04002411,马优滟,女,159.33,2004-12-19,北1舍413
04002420,王阔征,男,177.0,2003-09-25,西2舍731
04002430,崔祺蒙,男,160.0,2004-11-21,北1舍301
04002441,胡柏凉,女,167.81,2004-10-13,北1舍535
04002451,施儿昭,女,156.98,2004-08-03,南2舍236
04002460,罗林若,男,182.0,2004-12-09,南2舍137
04002470,方坤霖,男,164.0,2004-01-18,南2舍933
04002481,程育皎,女,153.72,2004-07-28,西1舍320
04002490,张雨泮,男,172.0,2003-12-08,东2舍212
04002500,石卫超,男,177.0,2004-07-24,南2舍121
04002510,马昶焘,男,173.0,2005-04-27,北2舍437
04002521,崔晴彤,女,163.39,2004-10-05,东2舍240
04002530,张垒军,男,176.0,2004-05-10,北2舍217
04002540,胡衍棋,男,175.0,2004-08-12,东2舍121
04002550,隋树征,男,156.0,2004-06-24,西1舍504
04002561,黄薇诗,女,163.52,2003-10-12,东1舍936
04002571,杨菊婕,女,163.66,2004-05-25,东1舍410
04002581,王佳芫,女,162.88,2005-05-21,西2舍405
04002591,张烨瑶,女,157.21,2005-03-22,北2舍506
04002601,傅亭念,女,155.11,2004-11-28,南1舍713
04002610,许隆谊,男,172.0,2004-09-09,南1舍438
04002621,沈哲念,女,166.4,2004-06-07,南2舍212
04002631,李毓维,女,159.52,2005-01-31,北2舍939
04002640,王蒙纲,男,174.0,2004-07-23,东2舍337
04002650,罗乒南,男,176.0,2004-09-23,东1舍208
04002660,李濮博,男,179.0,2004-12-04,南1舍835
04002670,吴希棋,男,172.0,2004-03-02,北2舍701
04002681,刘南玮,女,161.08,2004-11-01,东2舍540
04002691,秦幽瑾,女,157.2,2004-10-19,北2舍301
04002701,赵普瑞,女,170.42,2004-11-14,西1舍420
04002710,汪致谚,男,188.0,2005-03-11,西1舍735
04002720,张若迈,男,185.0,2004-01-17,东1舍504
04002730,卢鸿济,男,179.0,2004-10-03,南1舍426
04002741,马欢滢,女,171.63,2004-06-30,东1舍411
04002751,叶莺虹,女,169.24,2004-02-03,北2舍931
04002761,张珂荷,女,163.81,2004-07-10,北2舍130
04002771,黄璟痴,女,164.43,2005-02-08,北2舍135
04002781,刘玉君,女,159.39,2005-04-29,西2舍604
04002791,李龙人,女,160.46,2004-07-21,西1舍518
04002801,范依思,女,163.42,2004-06-20,东1舍411
04002811,何勤依,女,170.04,2004-04-22,北1舍112
04002820,林军彦,男,185.0,2004-04-23,南2舍817
04002831,周莎琦,女,164.17,2004-08-26,北2舍201
04002841,于珞娇,女,152.29,2004-05-09,北1舍209
04002850,吴仑忠,男,168.0,2003-12-19,东2舍936
04002861,王涵翠,女,155.58,2004-03-24,南2舍139
04002871,赵亦纯,女,161.02,2004-06-12,南1舍811
04002881,史凉会,女,167.55,2003-10-11,东2舍318
04002891,李林怡,女,163.57,2004-10-17,东1舍617
04002900,张函泮,男,171.0,2004-12-10,东2舍519
04002910,张清晞,男,170.0,2003-08-25,西2舍538
04002920,刘矾阔,男,176.0,2004-03-04,北2舍326
04002931,高昭贺,女,163.84,2004-04-17,东1舍617
04002941,黄德舞,女,150.94,2004-06-12,南1舍207
04002950,彭均立,男,179.0,2004-08-15,西1舍427
04002961,李雪婉,女,173.62,2004-07-24,东2舍540
04002970,于函忠,男,159.0,2005-04-09,东2舍422
04002980,万洲烊,男,180.0,2005-01-05,南1舍106
04002990,李希弛,男,181.0,2004-05-28,南2舍210
04003001,严煦叶,女,159.91,2004-07-29,西2舍730
04003010,陈儒桦,男,163.0,2004-10-04,西1舍533
04003021,马玥珞,女,158.97,2004-03-13,南1舍839
04003031,朱娜霎,女,165.08,2004-07-18,南2舍634
04003040,曲之冰,男,175.0,2004-05-23,北2舍939
04003051,周菊若,女,159.96,2004-09-16,南1舍427
04003060,杜军征,男,159.0,2003-05-29,南1舍238
04003071,陈兰燕,女,164.96,2004-02-03,西2舍604
04003081,王悦洁,女,160.06,2004-02-23,北1舍706
04003090,张晨树,男,178.0,2004-01-26,北1舍607
04003101,陈澜虹,女,169.21,2004-05-31,南1舍903
04003110,王歌均,男,173.0,2005-02-24,东2舍739
04003121,黄煦尔,女,169.85,2005-01-09,西1舍127
04003130,耿恬东,男,177.0,2004-08-28,西2舍307
04003140,梁颜帅,男,176.0,2004-05-01,南2舍834
04003150,傅行琦,男,171.0,2004-10-15,北2舍925
04003161,隋旋勤,女,165.11,2003-12-01,西2舍903
04003171,李寻卉,女,160.81,2004-09-11,南1舍109
04003180,张浦韬,男,182.0,2004-07-05,南2舍930
04003191,李雅赫,女,153.21,2004-12-19,东1舍111
04003201,曾虞欣,女,158.82,2004-04-17,东2舍227
04003210,高博忠,男,167.0,2004-09-13,南1舍935
04003221,柯沁哲,女,176.55,2004-08-05,西2舍119
04003230,赵豪珺,男,170.0,2004-04-13,北2舍722
04003241,牛桑涵,女,161.63,2004-06-26,北2舍223
04003251,白允普,女,156.83,2004-03-21,西2舍218
04003261,叶梨黛,女,180.42,2004-05-30,东1舍310
04003271,陈怀路,女,165.05,2004-11-03,西1舍416
04003281,殷亦哓,女,165.4,2003-10-08,西2舍332
04003290,李颁晗,男,186.0,2003-10-07,北1舍304
04003300,张庭昌,男,170.0,2004-05-07,东2舍225
04003310,陈涵璥,男,179.0,2004-09-01,东2舍838
04003320,李阔蓝,男,169.0,2004-09-04,西2舍523
04003331,聂悦琬,女,166.18,2004-01-17,东1舍437
04003340,洪奕敬,男,168.0,2003-12-05,南2舍633
04003351,冯兔欣,女,163.38,2004-04-18,北1舍139
04003360,薛晟辉,男,181.0,2004-05-22,东1舍510
04003371,胡环歆,女,167.81,2004-12-22,东1舍516
04003381,靳听滟,女,163.98,2005-01-07,北2舍529
04003390,黄谊晟,男,167.0,2004-09-24,东1舍419
04003400,罗锐凌,男,173.0,2004-07-01,东1舍529
04003410,田棋咏,男,169.0,2004-11-05,北1舍428
04003420,薛风文,男,183.0,2004-04-12,北2舍529
04003431,刘梅叶,女,167.01,2005-02-15,南2舍310
04003440,锺军鸿,男,171.0,2004-07-25,南1舍921
04003450,刘歌珺,男,168.0,2004-08-29,西1舍735
04003460,王昶旭,男,154.0,2004-11-21,北2舍419
04003471,屈锦诗,女,154.32,2004-04-14,北2舍303
04003481,李筠峥,女,161.79,2004-09-21,北1舍719
04003491,马尔丝,女,162.57,2003-12-14,东1舍511
04003501,曾华秋,女,164.58,2004-07-29,西1舍925
04003511,梁绣惠,女,152.76,2004-12-16,南1舍603
04003520,高诚贵,男,166.0,2005-04-18,南2舍240
04003530,田蔚杰,男,182.0,2004-05-04,北2舍539
04003540,陈单风,男,165.0,2004-03-11,东2舍314
04003551,全霄豆,女,150.63,2005-02-07,南1舍935
04003560,陆稹烁,男,171.0,2004-08-31,东2舍208
04003570,范佑澎,男,178.0,2004-08-19,北1舍238
04003581,彭颢听,女,157.32,2004-05-21,北2舍232
04003591,李思念,女,158.44,2004-08-05,南1舍513
04003600,孙之祺,男,172.0,2004-07-27,西1舍303
04003610,李缜亨,男,179.0,2004-03-01,北2舍723
04003621,李香雅,女,166.21,2004-07-22,西1舍505
04003631,夏堇眉,女,154.97,2004-06-08,东2舍632
04003641,许霜鸣,女,155.02,2004-03-12,南1舍305
04003651,李红卓,女,165.0,2004-07-31,北2舍439
04003661,秦芹童,女,161.55,2003-09-13,南1舍109
04003670,林玮海,男,180.0,2003-11-17,西2舍736
04003681,刘亦聪,女,154.34,2003-12-31,南2舍725
04003691,杨环烷,女,153.86,2004-10-03,北2舍918
04003700,王科南,男,172.0,2004-11-06,东2舍414
04003711,黄蓓普,女,166.21,2004-06-25,东1舍834
04003720,侯琦彬,男,174.0,2004-08-14,南2舍926
04003731,王纹蕴,女,165.68,2003-08-17,南2舍802
04003740,王瀛卫,男,169.0,2004-03-07,南1舍310
04003750,刘克衡,男,172.0,2004-09-06,东1舍540
04003760,吴树武,男,163.0,2004-11-30,西2舍803
04003771,李令亭,女,158.55,2005-03-25,北2舍636
04003780,姚中霆,男,173.0,2005-03-02,西2舍210
04003791,舒林煊,女,169.76,2004-05-21,南1舍402
04003801,楚连银,女,161.26,2004-12-28,南1舍106
04003810,江澔洲,男,174.0,2004-10-30,西1舍615
04003820,刘舱曦,男,168.0,2005-03-17,东1舍323
04003830,黄船颁,男,172.0,2004-09-10,南1舍411
04003841,陈弦婕,女,163.41,2004-12-14,东2舍716
04003850,吕立寒,男,179.0,2004-12-27,北2舍320
04003860,谭福昭,男,174.0,2003-10-19,西1舍825
04003871,何苑萍,女,163.47,2004-05-26,南2舍618
04003880,丘济兴,男,178.0,2004-11-30,南2舍634
04003891,张惠纹,女,167.38,2004-01-15,西1舍137
04003901,范光宸,女,168.86,2004-12-08,北2舍312
04003910,杨铸澜,男,170.0,2004-12-31,南1舍730
04003920,焦忠拾,男,182.0,2005-03-24,北1舍334
04003930,杨济朋,男,174.0,2003-10-06,东2舍333
04003940,梁崇杉,男,175.0,2004-01-27,北1舍507
04003951,李烷溪,女,165.63,2004-02-16,西1舍820
04003960,徐琛波,男,184.0,2004-01-31,西2舍815
04003970,于帝涵,男,171.0,2003-08-15,南2舍816
04003981,顾春颖,女,174.17,2004-03-12,北1舍507
04003991,曹然旋,女,174.8,2004-08-11,北2舍105
04004000,廖蒙行,男,181.0,2004-05-06,南2舍439
04004010,张磊驹,男,166.0,2004-02-03,西1舍737
04004020,卢晋溯,男,178.0,2003-12-06,北1舍415
04004030,李杰垒,男,172.0,2004-06-20,南1舍709
04004040,锺鸿玮,男,182.0,2005-01-18,南2舍237
04004051,庞苒谷,女,148.49,2004-11-17,南2舍129
04004061,陈珚茹,女,171.06,2004-04-07,北2舍337
04004070,李睿鑫,男,170.0,2004-06-19,北2舍337
04004081,蔡思旭,女,168.64,2003-11-30,东1舍321
04004090,冯峰礼,男,182.0,2005-02-06,东1舍936
04004100,杨南利,男,182.0,2004-08-09,西1舍828
04004110,陆逸冰,男,176.0,2004-11-01,南1舍915
04004121,赵铃茗,女,169.53,2004-02-26,南1舍802
04004131,袁淑彨,女,169.63,2003-11-03,东1舍939
04004140,张单彬,男,156.0,2004-08-31,北1舍913
04004150,吴谱寒,男,164.0,2004-04-10,西2舍707
04004160,林社钊,男,170.0,2004-05-22,南2舍918
04004170,甯浪利,男,172.0,2004-10-14,西2舍935
04004180,张承景,男,166.0,2004-08-12,东1舍914
04004190,吴林东,男,162.0,2004-07-23,西1舍303
04004200,吕磊凰,男,172.0,2004-08-24,西1舍837
04004211,宋音浩,女,169.8,2004-06-09,西2舍929
04004220,王宇奕,男,179.0,2003-09-09,西2舍233
04004230,吴琛苗,男,174.0,2004-04-27,西1舍206
04004241,赵滢痴,女,143.96,2004-08-30,北1舍821
04004251,潘棉曼,女,171.74,2004-07-29,北2舍317
04004260,陈垒国,男,170.0,2004-06-30,南2舍633
04004271,唐绿茗,女,163.17,2004-06-13,南2舍602
04004280,张至冠,男,182.0,2004-12-12,南1舍226
04004291,王蕴蕊,女,164.08,2005-03-26,北2舍438
04004300,周光谊,男,175.0,2004-09-27,南1舍115
04004311,李凉莉,女,150.69,2004-08-22,南2舍912
04004321,刘茹慧,女,161.36,2004-10-17,北1舍140
04004331,孙宸然,女,168.85,2004-08-07,西2舍319
04004341,王沁海,女,151.39,2004-09-08,北1舍615
04004351,黄珞会,女,165.23,2004-07-15,南2舍117
04004360,陈南攸,男,183.0,2004-03-03,西2舍319
04004370,程景若,男,173.0,2004-04-26,北1舍840
04004381,郭烷敏,女,159.93,2004-07-22,南2舍406
04004390,陆磊志,男,188.0,2004-04-29,南2舍226
04004401,冯霞迎,女,164.34,2005-04-15,西1舍908
04004410,胡谦磊,男,189.0,2004-05-22,西1舍806
04004421,李素龙,女,151.52,2004-09-16,南2舍302
04004430,郑华凰,男,171.0,2004-06-01,北2舍921
04004440,王韶雄,男,174.0,2005-01-24,西1舍528
04004450,魏佑密,男,187.0,2004-06-05,北2舍439
04004461,陆逸听,女,166.96,2004-03-02,西1舍518
04004471,锺芳艺,女,164.04,2004-04-08,东1舍524
04004481,马虹楚,女,156.43,2004-02-06,北1舍709
04004491,赵惠绿,女,164.98,2004-06-20,东1舍135
04004501,王珊灿,女,159.85,2003-12-09,东1舍125
04004511,张万瑷,女,162.12,2004-04-03,西2舍718
04004520,谭登浦,男,164.0,2004-06-08,西1舍511
04004531,黄问筠,女,151.18,2005-03-10,南2舍440
04004540,梁雨世,男,168.0,2004-01-10,西1舍125
04004551,聂琳钰,女,158.08,2005-01-24,东2舍636
04004561,孙尔光,女,164.69,2004-04-30,东1舍127
04004571,王紫涵,女,165.79,2003-05-29,东2舍430
04004581,王安真,女,149.89,2004-09-12,西2舍804
04004590,董擎超,男,188.0,2005-03-24,东1舍715
04004600,王琦蓝,男,171.0,2005-01-11,北2舍108
04004610,王行淇,男,183.0,2004-05-22,南1舍120
04004620,史克骢,男,165.0,2004-03-29,南2舍919
04004631,徐蓝婵,女,164.16,2003-06-05,南1舍312
04004641,傅烟莎,女,145.91,2004-06-16,北2舍601
04004651,马霎蓝,女,162.32,2004-03-29,南1舍631
04004661,蒋霞任,女,162.44,2003-09-17,西2舍202
04004670,邹伦基,男,163.0,2004-03-02,北2舍939
04004680,杨冰竣,男,169.0,2003-07-13,南1舍901
04004691,李璇芥,女,158.96,2004-06-22,东2舍417
04004701,聂翠扬,女,157.48,2004-03-31,北2舍809
04004710,周宇飒,男,170.0,2003-11-12,南1舍731
04004721,谢羽妍,女,170.04,2004-02-01,南1舍709
04004730,董韶友,男,163.0,2004-10-02,北1舍432
04004740,罗奇东,男,172.0,2004-08-14,北1舍234
04004751,黎惠月,女,173.79,2003-12-23,南1舍830
04004761,黄萍荣,女,160.83,2003-12-23,西2舍608
04004771,何卿怡,女,171.74,2004-01-20,南2舍928
