SID,SNAME,SEX,HEIGHT,BDATE,DORM
04000630,梁彬亨,男,179.0,2004-03-11,西2舍223
04000641,董乐初,女,164.53,2005-02-03,东1舍123
04000651,吴若籁,女,160.02,2004-08-22,西2舍223
04000660,赵川澎,男,169.0,2004-09-08,西1舍102
04000671,陈晶连,女,170.16,2004-04-05,西2舍207
04000681,王卓昭,女,153.71,2004-10-28,西1舍113
04000691,钱静霞,女,163.57,2004-01-27,西1舍110
04000700,汪映智,男,172.0,2003-09-13,东2舍231
04000710,万玫胜,男,178.0,2004-11-30,东1舍137
04000721,郭彦蕴,女,167.96,2004-02-02,东2舍220
04000730,杨保嘉,男,173.0,2004-07-16,东2舍208
04000741,孙琦桑,女,167.17,2004-01-21,东2舍231
04000751,纪欣露,女,164.61,2004-12-06,西1舍116
04000761,赵霎颜,女,175.71,2004-07-19,东1舍114
04000771,龙正蓝,女,160.26,2004-11-01,东2舍201
04000780,王钦超,男,186.0,2004-01-05,西1舍128
04000791,喻蕴芳,女,165.95,2003-09-28,西1舍106
04000801,郭华妍,女,165.01,2004-06-16,西1舍121
04000811,宋英聪,女,166.59,2003-10-12,西1舍106
04000821,王蕴银,女,164.25,2004-07-01,西1舍135
04000831,孙菲桂,女,163.36,2004-11-25,西2舍211
04000840,孙平聚,男,172.0,2004-09-04,东1舍105
04000851,陈茹伟,女,145.59,2004-09-04,东1舍131
04000860,邓世泰,男,153.0,2004-08-21,东2舍222
04000870,王律马,男,170.0,2005-01-19,西1舍110
04000881,蔡光莺,女,164.51,2004-11-18,东1舍119
04000891,杨媛萁,女,169.05,2004-04-16,西2舍225
04000901,李茜瑷,女,167.91,2004-04-25,西2舍232
04000911,邓宸洁,女,161.14,2004-09-18,东1舍138
04000921,林赫爽,女,167.28,2003-08-01,西1舍106
04000930,刘俯烨,男,175.0,2004-02-02,东1舍101
04000941,陈灵豆,女,159.89,2004-06-12,西1舍110
04000950,聂远强,男,162.0,2004-03-29,西1舍112
04000961,范鸥卉,女,169.55,2004-05-28,东1舍134
04000971,吴烟仪,女,167.19,2003-11-18,东2舍209
04000980,陆李文,男,178.0,2004-01-25,西1舍109
04000991,薛菱筱,女,161.06,2004-07-15,西1舍126
04001000,黄义掣,男,178.0,2005-01-31,西1舍124
04001011,李虞银,女,163.31,2004-04-24,东1舍115
04001020,孙科真,男,171.0,2005-01-17,西1舍125
04001030,谢森智,男,175.0,2003-10-02,西1舍124
04001040,郭寒胜,男,168.0,2004-08-07,西2舍229
04001050,李书昴,男,161.0,2004-06-19,东2舍208
04001061,赵旋岚,女,166.09,2004-07-13,东1舍120
04001070,邓韦保,男,169.0,2004-08-03,东2舍224
04001081,林玥焓,女,174.83,2004-10-07,西1舍110
04001091,武痴谷,女,159.02,2004-03-20,西1舍135
04001101,赵葵莺,女,150.37,2004-11-14,西1舍104
04001111,李安语,女,162.91,2003-12-27,西1舍132
04001120,冉福至,男,172.0,2004-02-29,西1舍121
04001130,安翊旷,男,170.0,2003-07-06,东1舍101
04001140,郭震示,男,173.0,2004-02-21,西2舍235
04001150,曾霖单,男,168.0,2003-07-12,西1舍118
04001160,李韵登,男,170.0,2004-09-30,东1舍103
04001171,李旋素,女,166.83,2003-09-12,东2舍140
04001180,王殿祺,男,168.0,2004-05-01,西1舍118
04001191,陈琴芬,女,175.06,2003-12-17,西1舍122
04001201,刘菊超,女,157.05,2004-10-07,西2舍204
04001211,孙趣育,女,174.99,2005-04-06,东1舍115
04001221,谢源珍,女,166.27,2004-10-04,东1舍134
04001230,潘岑哲,男,172.0,2004-08-27,西2舍139
04001241,奚潼可,女,153.4,2005-04-05,西1舍128
04001251,许采芬,女,168.45,2004-10-09,东2舍222
04001260,王蒲励,男,155.0,2003-11-29,西1舍113
04001270,王泽昶,男,155.0,2004-06-23,西1舍124
04001280,夏峻钢,男,158.0,2004-03-09,西1舍130
04001290,李登歌,男,177.0,2003-09-15,西1舍135
04001301,郝海羽,女,148.47,2004-03-24,东2舍233
04001311,潘雅婵,女,170.91,2004-08-20,西1舍128
04001321,何源源,女,156.98,2004-05-30,西2舍223
04001331,黄秋纹,女,170.01,2004-10-11,西2舍230
04001340,钱颁圣,男,174.0,2005-03-02,东1舍123
04001351,刘蓓采,女,154.7,2004-11-24,西1舍126
04001360,林劻俊,男,181.0,2004-10-20,西2舍225
04001371,李柏弦,女,163.85,2004-08-26,东2舍226
04001381,孟彤群,女,156.12,2004-01-16,西2舍229
04001391,李楠曦,女,159.39,2004-09-12,西1舍118
04001400,张炎涵,男,184.0,2004-05-25,西1舍125
04001411,刘晋夏,女,169.8,2004-04-08,东2舍206
04001421,焦漪佑,女,160.45,2004-12-24,西2舍223
04001431,王松娅,女,165.32,2004-03-31,西2舍230
04001441,周芯茜,女,161.2,2005-02-22,东1舍138
04001451,阎晋雯,女,169.94,2004-09-11,东1舍105
04001460,任敬越,男,175.0,2004-01-21,西2舍204
04001471,翁霎瑷,女,156.98,2004-11-01,东2舍203
04001481,曹梅芫,女,163.94,2004-05-29,东1舍119
04001491,何路旭,女,157.88,2004-08-29,西2舍207
04001500,杨颜卓,男,177.0,2004-08-26,西2舍221
04001510,鲍兴光,男,178.0,2004-03-04,东2舍202
04001520,郭瀚殿,男,176.0,2004-01-21,西1舍122
04001530,陈律钧,男,177.0,2004-04-07,东1舍136
04001541,阎偀婕,女,164.38,2004-09-30,东2舍233
04001550,邓伦玮,男,171.0,2004-06-11,东1舍136
04001560,王澎浣,男,164.0,2004-07-31,西2舍204
04001570,苏朕冠,男,167.0,2003-05-26,东1舍137
04001580,于彤梁,男,175.0,2004-09-25,东2舍201
04001591,魏丽文,女,157.91,2003-07-30,东2舍222
04001601,林安琼,女,167.19,2004-10-17,西1舍125
04001610,王存达,男,179.0,2004-08-23,西2舍225
04001621,房扬咏,女,154.27,2004-11-06,东1舍115
04001631,张芹华,女,161.59,2004-10-20,东2舍209
04001641,刘玫昊,女,149.36,2004-11-12,东2舍216
04001650,崔澎乔,男,169.0,2003-12-03,西2舍235
04001660,陈畅昌,男,181.0,2004-03-26,东1舍105
04001671,陈灿纨,女,165.46,2004-12-05,东1舍111
04001680,王书宇,男,165.0,2003-10-21,西2舍219
04001691,胡芝珂,女,158.43,2004-10-15,西2舍139
04001701,陈华会,女,167.91,2004-05-09,东2舍140
04001710,栗之永,男,169.0,2004-05-14,西2舍218
04001721,郭家玲,女,172.76,2004-05-29,东1舍136
04001731,刘丝安,女,153.76,2003-09-11,西2舍219
04001741,刘问赫,女,153.11,2004-06-30,西1舍112
04001751,郭芃弦,女,155.2,2004-05-22,东2舍216
04001761,丁飘樱,女,158.46,2004-06-03,东2舍233
04001770,刘劭浩,男,173.0,2004-05-06,东1舍117
04001780,张诚礼,男,168.0,2004-06-14,西2舍217
04001791,赵淑赫,女,156.79,2004-07-26,西2舍228
04001801,段嫦姝,女,167.04,2004-04-15,西2舍205
04001811,李靖鸥,女,163.45,2004-08-16,东1舍131
04001821,李双笛,女,163.45,2004-12-10,东1舍123
04001830,魏杭伦,男,164.0,2004-06-26,东2舍216
04001840,邓谱清,男,166.0,2004-06-24,西2舍204
04001850,梁谱迈,男,176.0,2004-10-27,东1舍111
04001860,李永基,男,168.0,2004-10-16,西2舍214
04001871,刘优珍,女,149.86,2004-12-03,西1舍122
04001881,陈雁珚,女,154.2,2005-02-27,西2舍214
04001891,徐婉莉,女,166.61,2005-04-29,东2舍140
04001900,李琦易,男,178.0,2004-09-07,西2舍218
04001911,柯柏荣,女,159.85,2004-02-07,西1舍108
04001920,杨辰初,男,182.0,2004-05-12,东2舍203
04001930,张澎密,男,162.0,2004-04-18,西1舍112
04001940,赵魏禅,男,166.0,2003-09-26,西1舍130
04001950,李佳科,男,184.0,2004-10-06,西2舍228
04001960,刘基琪,男,167.0,2004-06-09,东2舍224
04001970,杨杭奇,男,164.0,2004-08-04,东1舍103
04001980,方蒲升,男,179.0,2003-09-19,东1舍133
04001991,张奇蕊,女,156.01,2005-01-02,西2舍207
